cod_ine,nombre,concejales,concejales_hombres,concejales_mujeres,concejo,votacion,resultado
21601,Gral. Juan José Perez (Charazani),4,1,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1}]",,
21602,Curva,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
21701,Copacabana,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""ASP"",""v"":1},{""s"":""F.R.C.U.P."",""v"":1},{""s"":""MAYA-C"",""v"":1}]",,
21702,San Pedro de Tiquina,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""ASP"",""v"":1},{""s"":""I.D.E.A."",""v"":2}]",,
21703,Tito Yupanqui,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MSM"",""v"":3}]",,
21801,San Pedro de Curahuara,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""M.P.S."",""v"":1}]",,
21802,Papel Pampa,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
21803,Chacarilla,,,,[],,
21901,Santiago de Machaca,5,4,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""M.T.L."",""v"":1}]",,
21902,Catacora,5,2,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
22001,Caranavi,7,5,2,"[{""s"":""MAS-IPSP"",""v"":5},{""s"":""MSM"",""v"":1},{""s"":""M.P.S."",""v"":1}]",,
22002,Alto Beni,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""UN"",""v"":2}]",,
30101,Cochabamba,11,6,5,"[{""s"":""MAS-IPSP"",""v"":5},{""s"":""FPV"",""v"":1},{""s"":""UN-CP"",""v"":5}]",,
30201,Aiquile,7,3,4,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":3}]",,
30202,Pasorapa,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""PUN"",""v"":3}]",,
30203,Omereque,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1}]",,
30301,Independencia,7,4,3,"[{""s"":""MAS-IPSP"",""v"":5},{""s"":""MSM"",""v"":2}]",,
30302,Morochata,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
30303,Cocapata,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
30401,Tarata,5,2,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
30402,Anzaldo,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""FPV"",""v"":1}]",,
30403,Arbieto,5,2,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
30404,Sacabamba,,,,[],,
30501,Arani,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1}]",,
30502,Vacas,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1}]",,
30601,Arque,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
30602,Tacopaya,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
30701,Capinota,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1}]",,
30702,Santivañez,5,4,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""MUS"",""v"":1}]",,
30703,Sicaya,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
30801,Cliza,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
30802,Toco,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
30803,Tolata,5,2,3,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MSM"",""v"":2},{""s"":""IMU"",""v"":1}]",,
30901,Quillacollo,11,7,4,"[{""s"":""MAS-IPSP"",""v"":5},{""s"":""FPV"",""v"":1},{""s"":""UNE"",""v"":5}]",,
30902,Sipe Sipe,7,5,2,"[{""s"":""MAS-IPSP"",""v"":5},{""s"":""MSM"",""v"":1},{""s"":""TODOS"",""v"":1}]",,
30903,Tiquipaya,7,4,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1},{""s"":""S.I.XT."",""v"":2}]",,
30904,Vinto,,,,[],,
30905,Colcapirhua,,,,[],,
31001,Sacaba,11,6,5,"[{""s"":""MAS-IPSP"",""v"":6},{""s"":""MSM"",""v"":1},{""s"":""H.OBRAS"",""v"":2},{""s"":""PDC"",""v"":1},{""s"":""UN-CP"",""v"":1}]",,
31002,Colomi,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
31003,Villa Tunari,,,,[],,
31101,Tapacarí,7,4,3,"[{""s"":""MAS-IPSP"",""v"":7}]",,
