cod-ine,nombre,rural,urbana,tipo_desague,tenencia,acceso_agua
41001,Toledo,5891,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":108},{""t"":""A una cámara séptica"", ""u"":0, ""r"":18},{""t"":""A un pozo ciego"", ""u"":0, ""r"":131},{""t"":""A la calle"", ""u"":0, ""r"":4},{""t"":""A la quebrada, río"", ""u"":0, ""r"":2},{""t"":""A un lago, laguna, curichi"", ""u"":0, ""r"":1},{""t"":""No tiene"", ""u"":0, ""r"":4067}]","[{""t"":""Propia"", ""u"":0, ""r"":3797},{""t"":""Alquilada"", ""u"":0, ""r"":168},{""t"":""En contrato anticrético"", ""u"":0, ""r"":2},{""t"":""En contrato anticrético y alquiler"", ""u"":0, ""r"":3},{""t"":""Cedida por servicios"", ""u"":0, ""r"":107},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":212},{""t"":""Otra"", ""u"":0, ""r"":42}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":573},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":2},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":694},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":737},{""t"":""Pileta pública"", ""u"":0, ""r"":150},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":166},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":2009}]"
41101,Eucaliptus,1095,1465,"[{""t"":""Al alcantarillado"", ""u"":183, ""r"":18},{""t"":""A una cámara séptica"", ""u"":22, ""r"":13},{""t"":""A un pozo ciego"", ""u"":78, ""r"":41},{""t"":""A la calle"", ""u"":1, ""r"":1},{""t"":""A la quebrada, río"", ""u"":1, ""r"":3},{""t"":""A un lago, laguna, curichi"", ""u"":0, ""r"":1},{""t"":""No tiene"", ""u"":730, ""r"":806}]","[{""t"":""Propia"", ""u"":699, ""r"":811},{""t"":""Alquilada"", ""u"":145, ""r"":23},{""t"":""En contrato anticrético"", ""u"":6, ""r"":0},{""t"":""En contrato anticrético y alquiler"", ""u"":1, ""r"":3},{""t"":""Cedida por servicios"", ""u"":20, ""r"":14},{""t"":""Prestada por parientes o amigos"", ""u"":108, ""r"":28},{""t"":""Otra"", ""u"":36, ""r"":4}]","[{""t"":""Cañería de red"", ""u"":946, ""r"":226},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":1},{""t"":""Lago, laguna, curichi"", ""u"":1, ""r"":6},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":1, ""r"":33},{""t"":""Pileta pública"", ""u"":38, ""r"":86},{""t"":""Pozo o noria con bomba"", ""u"":17, ""r"":72},{""t"":""Pozo o noria sin bomba"", ""u"":12, ""r"":459}]"
41201,Andamarca,3212,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":66},{""t"":""A una cámara séptica"", ""u"":0, ""r"":9},{""t"":""A un pozo ciego"", ""u"":0, ""r"":42},{""t"":""A la calle"", ""u"":0, ""r"":1},{""t"":""A la quebrada, río"", ""u"":0, ""r"":1},{""t"":""No tiene"", ""u"":0, ""r"":1873}]","[{""t"":""Propia"", ""u"":0, ""r"":1858},{""t"":""Alquilada"", ""u"":0, ""r"":77},{""t"":""En contrato anticrético"", ""u"":0, ""r"":1},{""t"":""En contrato anticrético y alquiler"", ""u"":0, ""r"":1},{""t"":""Cedida por servicios"", ""u"":0, ""r"":12},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":40},{""t"":""Otra"", ""u"":0, ""r"":3}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":541},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":2},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":85},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":132},{""t"":""Pileta pública"", ""u"":0, ""r"":114},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":232},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":886}]"
41202,Belén de Andamarca,1224,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":3},{""t"":""A una cámara séptica"", ""u"":0, ""r"":1},{""t"":""A un pozo ciego"", ""u"":0, ""r"":15},{""t"":""No tiene"", ""u"":0, ""r"":709}]","[{""t"":""Propia"", ""u"":0, ""r"":636},{""t"":""Alquilada"", ""u"":0, ""r"":29},{""t"":""Cedida por servicios"", ""u"":0, ""r"":12},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":39},{""t"":""Otra"", ""u"":0, ""r"":12}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":246},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":10},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":52},{""t"":""Pileta pública"", ""u"":0, ""r"":64},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":110},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":246}]"
41301,Totora,2848,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":5},{""t"":""A una cámara séptica"", ""u"":0, ""r"":5},{""t"":""A un pozo ciego"", ""u"":0, ""r"":222},{""t"":""A la calle"", ""u"":0, ""r"":2},{""t"":""A la quebrada, río"", ""u"":0, ""r"":5},{""t"":""No tiene"", ""u"":0, ""r"":1647}]","[{""t"":""Propia"", ""u"":0, ""r"":1786},{""t"":""Alquilada"", ""u"":0, ""r"":36},{""t"":""En contrato anticrético"", ""u"":0, ""r"":2},{""t"":""En contrato anticrético y alquiler"", ""u"":0, ""r"":1},{""t"":""Cedida por servicios"", ""u"":0, ""r"":19},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":36},{""t"":""Otra"", ""u"":0, ""r"":6}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":255},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":2},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":34},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":516},{""t"":""Pileta pública"", ""u"":0, ""r"":129},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":345},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":605}]"
41401,Santiago de Huari,3986,1589,"[{""t"":""Al alcantarillado"", ""u"":773, ""r"":25},{""t"":""A una cámara séptica"", ""u"":7, ""r"":17},{""t"":""A un pozo ciego"", ""u"":28, ""r"":100},{""t"":""A la calle"", ""u"":3, ""r"":2},{""t"":""A la quebrada, río"", ""u"":0, ""r"":1},{""t"":""No tiene"", ""u"":493, ""r"":3057}]","[{""t"":""Propia"", ""u"":967, ""r"":3061},{""t"":""Alquilada"", ""u"":164, ""r"":25},{""t"":""En contrato anticrético"", ""u"":18, ""r"":0},{""t"":""En contrato anticrético y alquiler"", ""u"":1, ""r"":0},{""t"":""Cedida por servicios"", ""u"":15, ""r"":46},{""t"":""Prestada por parientes o amigos"", ""u"":104, ""r"":52},{""t"":""Otra"", ""u"":35, ""r"":18}]","[{""t"":""Cañería de red"", ""u"":1015, ""r"":959},{""t"":""Carro repartidor (aguatero)"", ""u"":4, ""r"":3},{""t"":""Lago, laguna, curichi"", ""u"":6, ""r"":73},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":11, ""r"":602},{""t"":""Pileta pública"", ""u"":250, ""r"":467},{""t"":""Pozo o noria con bomba"", ""u"":10, ""r"":97},{""t"":""Pozo o noria sin bomba"", ""u"":8, ""r"":1001}]"
41501,La Rivera,190,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":28},{""t"":""No tiene"", ""u"":0, ""r"":153}]","[{""t"":""Propia"", ""u"":0, ""r"":134},{""t"":""Alquilada"", ""u"":0, ""r"":17},{""t"":""En contrato anticrético"", ""u"":0, ""r"":1},{""t"":""Cedida por servicios"", ""u"":0, ""r"":3},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":22},{""t"":""Otra"", ""u"":0, ""r"":4}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":68},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":1},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":42},{""t"":""Pileta pública"", ""u"":0, ""r"":8},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":3},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":59}]"
41502,Todos Santos,280,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":22},{""t"":""A una cámara séptica"", ""u"":0, ""r"":1},{""t"":""A un pozo ciego"", ""u"":0, ""r"":4},{""t"":""No tiene"", ""u"":0, ""r"":166}]","[{""t"":""Propia"", ""u"":0, ""r"":154},{""t"":""Alquilada"", ""u"":0, ""r"":4},{""t"":""Cedida por servicios"", ""u"":0, ""r"":5},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":9},{""t"":""Otra"", ""u"":0, ""r"":21}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":55},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":2},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":105},{""t"":""Pileta pública"", ""u"":0, ""r"":7},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":1},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":23}]"
41503,Carangas,302,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":6},{""t"":""A un pozo ciego"", ""u"":0, ""r"":5},{""t"":""No tiene"", ""u"":0, ""r"":234}]","[{""t"":""Propia"", ""u"":0, ""r"":211},{""t"":""Alquilada"", ""u"":0, ""r"":18},{""t"":""Cedida por servicios"", ""u"":0, ""r"":3},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":11},{""t"":""Otra"", ""u"":0, ""r"":2}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":26},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":5},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":165},{""t"":""Pileta pública"", ""u"":0, ""r"":35},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":4},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":10}]"
41601,Santiago de Huayllamarca,3491,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":4},{""t"":""A una cámara séptica"", ""u"":0, ""r"":24},{""t"":""A un pozo ciego"", ""u"":0, ""r"":129},{""t"":""No tiene"", ""u"":0, ""r"":2097}]","[{""t"":""Propia"", ""u"":0, ""r"":2126},{""t"":""Alquilada"", ""u"":0, ""r"":34},{""t"":""En contrato anticrético"", ""u"":0, ""r"":1},{""t"":""Cedida por servicios"", ""u"":0, ""r"":18},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":63},{""t"":""Otra"", ""u"":0, ""r"":12}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":548},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":27},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":707},{""t"":""Pileta pública"", ""u"":0, ""r"":188},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":163},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":621}]"
50101,Potosí,5345,50140,"[{""t"":""Al alcantarillado"", ""u"":41009, ""r"":250},{""t"":""A una cámara séptica"", ""u"":220, ""r"":37},{""t"":""A un pozo ciego"", ""u"":129, ""r"":167},{""t"":""A la calle"", ""u"":117, ""r"":5},{""t"":""A la quebrada, río"", ""u"":46, ""r"":41},{""t"":""A un lago, laguna, curichi"", ""u"":1, ""r"":0},{""t"":""No tiene"", ""u"":5242, ""r"":4342}]","[{""t"":""Propia"", ""u"":25886, ""r"":4486},{""t"":""Alquilada"", ""u"":11728, ""r"":120},{""t"":""En contrato anticrético"", ""u"":2247, ""r"":3},{""t"":""En contrato anticrético y alquiler"", ""u"":208, ""r"":1},{""t"":""Cedida por servicios"", ""u"":750, ""r"":53},{""t"":""Prestada por parientes o amigos"", ""u"":4821, ""r"":123},{""t"":""Otra"", ""u"":1124, ""r"":56}]","[{""t"":""Cañería de red"", ""u"":42346, ""r"":1850},{""t"":""Carro repartidor (aguatero)"", ""u"":259, ""r"":16},{""t"":""Lago, laguna, curichi"", ""u"":44, ""r"":96},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":109, ""r"":658},{""t"":""Pileta pública"", ""u"":3705, ""r"":940},{""t"":""Pozo o noria con bomba"", ""u"":61, ""r"":90},{""t"":""Pozo o noria sin bomba"", ""u"":240, ""r"":1192}]"
50102,Tinguipaya,8990,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":42},{""t"":""A una cámara séptica"", ""u"":0, ""r"":59},{""t"":""A un pozo ciego"", ""u"":0, ""r"":698},{""t"":""A la calle"", ""u"":0, ""r"":1},{""t"":""A la quebrada, río"", ""u"":0, ""r"":17},{""t"":""No tiene"", ""u"":0, ""r"":6728}]","[{""t"":""Propia"", ""u"":0, ""r"":7282},{""t"":""Alquilada"", ""u"":0, ""r"":127},{""t"":""En contrato anticrético"", ""u"":0, ""r"":2},{""t"":""Cedida por servicios"", ""u"":0, ""r"":82},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":35},{""t"":""Otra"", ""u"":0, ""r"":17}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":3586},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":27},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":128},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":1019},{""t"":""Pileta pública"", ""u"":0, ""r"":1119},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":97},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":1569}]"
50103,Villa de Yocalla,3391,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":368},{""t"":""A una cámara séptica"", ""u"":0, ""r"":56},{""t"":""A un pozo ciego"", ""u"":0, ""r"":430},{""t"":""A la calle"", ""u"":0, ""r"":6},{""t"":""A la quebrada, río"", ""u"":0, ""r"":24},{""t"":""No tiene"", ""u"":0, ""r"":2032}]","[{""t"":""Propia"", ""u"":0, ""r"":2520},{""t"":""Alquilada"", ""u"":0, ""r"":124},{""t"":""En contrato anticrético"", ""u"":0, ""r"":8},{""t"":""En contrato anticrético y alquiler"", ""u"":0, ""r"":3},{""t"":""Cedida por servicios"", ""u"":0, ""r"":90},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":130},{""t"":""Otra"", ""u"":0, ""r"":41}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":2091},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":16},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":6},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":212},{""t"":""Pileta pública"", ""u"":0, ""r"":423},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":13},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":155}]"
